Image,MSE_Existing,MSE_Proposed,PSNR_Embedded_Existing,PSNR_Embedded_Proposed,PSNR_Restored_Existing,PSNR_Restored_Proposed,Entropy_Original,Entropy_Stego_Gray,Entropy_Stego_Color
Pentagon,0.89,0.56268310546875,10.08,50.6281648518761,49.65,100,6.66769416066453,6.66949053962049,6.6687632050422
Barbara,1.38,0.554519653320312,8.68,50.6916341781771,49.76,100,7.3437681078555,7.5159305973089,7.46481463801045
Boat,1.21,0.561420440673828,9.43,50.6379214011804,49.86,86.5183668620276,6.94855973485023,6.97216117062006,6.97249491205231
Lena,1.07,0.558246612548828,9.93,50.662542644237,49.99,83.3952568012909,7.596451312402,7.59756086178167,7.59718104646567
